date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,et0_fao_evapotranspiration
2024-09-25,27.8,23.9,19.8,16.1,2.34
2024-09-26,28.8,23.4,2.4,15.9,4.05
2024-09-27,28.4,24.5,7.2,20.0,3.21
2024-09-28,28.1,24.0,9.9,17.5,3.31
2024-09-29,28.3,24.5,10.5,15.3,3.3
2024-09-30,28.4,24.1,21.3,18.5,3.3
2024-10-01,29.0,24.2,0.6,18.1,3.7
2024-10-02,29.9,25.0,3.0,18.2,4.24
2024-10-03,27.1,23.9,16.0,14.5,1.91
2024-10-04,28.4,24.3,7.0,23.2,2.88
2024-10-05,27.6,24.0,9.8,15.9,1.98
2024-10-06,27.5,23.8,7.9,12.2,2.64
2024-10-07,28.3,23.6,5.0,13.1,2.65
2024-10-08,29.6,23.6,0.6,12.3,3.33
2024-10-09,28.5,24.5,2.9,17.1,3.1
2024-10-10,29.0,23.9,0.3,15.3,3.86
2024-10-11,29.6,24.5,1.0,19.2,4.17
2024-10-12,28.6,23.6,10.3,16.1,2.86
2024-10-13,26.5,24.2,11.2,14.3,1.69
2024-10-14,28.0,24.3,12.1,15.1,3.05
2024-10-15,29.5,23.7,1.3,13.9,3.83
2024-10-16,28.4,24.5,7.4,12.6,3.02
2024-10-17,26.0,23.8,27.9,14.0,1.2
2024-10-18,29.2,22.9,4.0,13.3,3.87
2024-10-19,29.3,23.5,6.3,13.1,3.39
2024-10-20,29.1,24.2,3.3,15.6,3.78
2024-10-21,28.9,24.2,4.0,13.0,3.63
2024-10-22,28.4,24.1,6.2,10.0,3.11
2024-10-23,29.6,23.6,1.2,13.4,3.93
2024-10-24,29.9,25.0,0.7,17.9,4.05
2024-10-25,29.9,25.5,25.0,17.0,2.66
2024-10-26,29.6,24.7,2.3,12.4,3.74
2024-10-27,29.9,24.0,0.5,14.3,4.34
2024-10-28,29.1,25.6,3.5,14.2,3.66
2024-10-29,29.1,24.9,5.1,12.9,3.56
2024-10-30,29.6,24.5,3.9,14.7,3.82
2024-10-31,29.6,25.0,0.4,13.3,4.16
2024-11-01,30.0,25.2,1.3,12.7,3.84
2024-11-02,29.2,25.6,2.7,19.5,3.85
2024-11-03,28.9,24.9,5.8,17.4,3.19
2024-11-04,31.1,23.9,1.8,14.2,4.53
2024-11-05,31.8,24.1,0.0,14.3,4.6
2024-11-06,30.0,24.1,1.7,13.0,4.11
2024-11-07,31.0,24.7,0.0,15.7,3.59
2024-11-08,30.9,25.3,0.0,17.2,4.53
2024-11-09,30.0,25.1,0.9,16.3,3.71
2024-11-10,29.7,24.7,3.6,16.3,3.43
2024-11-11,30.0,24.5,0.8,10.8,3.97
2024-11-12,30.9,24.1,0.3,13.0,4.33
2024-11-13,32.0,25.4,0.0,13.4,4.24
2024-11-14,31.0,25.0,11.1,14.6,3.85
2024-11-15,31.2,25.8,0.4,9.7,4.06
2024-11-16,30.8,25.7,1.4,12.7,3.9
2024-11-17,30.2,25.2,2.2,9.5,3.82
2024-11-18,31.2,24.9,1.1,11.3,4.13
2024-11-19,32.2,25.0,0.0,9.5,4.29
2024-11-20,33.5,25.4,0.0,13.8,4.46
2024-11-21,32.0,25.2,0.0,13.7,4.29
2024-11-22,30.4,25.3,7.2,12.9,3.81
2024-11-23,31.1,25.9,1.9,11.1,3.71
2024-11-24,32.7,25.1,0.0,11.4,4.17
2024-11-25,33.0,25.1,0.0,15.1,4.1
2024-11-26,31.3,25.6,3.1,12.1,3.84
2024-11-27,31.0,25.8,0.8,14.5,3.69
2024-11-28,32.4,25.1,0.0,12.2,4.16
2024-11-29,33.0,24.4,0.0,8.6,4.56
2024-11-30,34.2,23.2,0.0,11.5,4.74
